prompt_id,section_id,title,visual_family,placement,priority,regeneration_priority,recommended_model,api_quality,api_size,recommended_variants,reference_tags,caption,overlay_notes,assembled_prompt
GFV6-FM_1-A,FM.1,What this revision thinks the original manuscript is really trying to do,Modern map and recovery,full-width opening plate,core,medium,gpt-image-1.5,high,1536x1024,2,,"The book's thesis is one spine, not a tour of disconnected topics.","Overlay optional: small chapter waypoint labels on the ascending path. Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: horizontal frieze on a modular studio wall; exactly seven equal stations from left to right
Subject: one amber thread passes through: rod comparison, arrow translation, scale gate, nested shutter, curve under lens, local field arrows, architectural prism
Conceptual action: show the book spine as one repeated move: object -> action -> relation -> refinement -> invariant
Composition: seven stations, equal size, separated by blank gutters; each station reads as a simple icon before it reads as a scene
Materials / medium: graphite wall, brass instruments, vellum, glass lens, matte stone prism, warm amber thread
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: opening editorial spread for a geometry-first adult learning book"
GFV6-FM_1-B,FM.1-B,Thesis spine - seven-panel reference frieze,Modern map and recovery,companion reference frieze,optional,medium,gpt-image-1.5,high,1536x1024,2,,"The book is a connected spine: compare, move, resize, refine, approximate, flow, preserve.","Use as a foldout or section divider. Add captions after generation only. Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: wide modular frieze with exactly seven square cells
Subject: one brass bead travels cell by cell through comparison, translation, scaling, refinement, calculus zoom, field rule, invariant prism
Conceptual action: same object survives the whole curriculum by changing the operation around it
Composition: seven cells, equal size, blank gutters, bead aligned on one horizontal path
Materials / medium: wood, brass, vellum, glass lens, water field, graphite stone prism, amber thread
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: companion plate designed to receive exact vector diagram overlays"
GFV6-FM_2-A,FM.2,How to use this book if school made mathematics feel fake,Modern map and recovery,margin or opener,core,normal,gpt-image-1.5,high,1024x1024,2,,The reader is not being remediated; the subject is being rebuilt honestly.,"Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: calm recovery-map studio; modular wall, cabinets, paths, cards, instruments, and a single amber thread tying ideas together
Subject: a quiet desk scene where a stack of rote worksheets has been pushed aside and replaced by a compass, string, brass unit rod, transparent tracing paper, and a small lamp illuminating one simple segment.
Conceptual action: The reader is being respected as a rebuilding learner; the subject is being rebuilt honestly; the mood feels like leaving a fluorescent classroom and entering a real workshop
Composition: organized stations or one central object; scan left-to-right using the exact station count required by the subject; clear gutters between zones
Materials / medium: museum-quality editorial illustration; paper, wood, brass, glass, graphite, warm neutral palette
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: opening editorial spread for a geometry-first adult learning book"
GFV6-FM_3-A,FM.3,A decoding tool for every new idea,Modern map and recovery,one-page reference image,core,high,gpt-image-1.5,high,1536x1024,3,,"Picture, action, relation, compression are four views of the same idea.","Overlay recommended: the four words can be added in layout. Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: single brass bead on a clean tabletop passing through exactly four square lenses
Subject: the same bead appears as picture, action, relation, and compression while identity is preserved
Conceptual action: each lens changes the learner’s view, while object identity is preserved
Composition: four lenses in a cross around the bead; center object remains aligned; empty corners for later labels
Materials / medium: clear glass lenses, brass bead, vellum shadows, warm tabletop side light
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: opening editorial spread for a geometry-first adult learning book"
GFV6-FM_4-A,FM.4,A visual grammar for the rest of the book,Modern map and recovery,spread opener,core,normal,gpt-image-1.5,high,1536x1024,2,,The reader learns to recognize the book's recurring visual families.,"Overlay: add motif names as typography after generation. Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: calm recovery-map studio; modular wall, cabinets, paths, cards, instruments, and a single amber thread tying ideas together
Subject: an elegant wall of six framed visual motifs: layered stack, path, resize, turn, constraint, and refinement.
Conceptual action: The reader learns to recognize the book's recurring visual families; each frame is simple and iconic but rendered as fine art objects: translucent layers, a ghost path, a dilation shadow, a rotating beam, a glowing selected locus, and nested shutters closing
Composition: organized stations or one central object; scan left-to-right using the exact station count required by the subject; clear gutters between zones
Materials / medium: museum-quality editorial illustration; paper, wood, brass, glass, graphite, warm neutral palette
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: opening editorial spread for a geometry-first adult learning book"
GFV6-FM_5-A,FM.5,The permanent scaffold,Modern map and recovery,full-width anchor plate,core,high,gpt-image-1.5,high,1536x1024,3,,Every later concept is a reuse of the same acts.,"Overlay recommended for platform names and chapter references. Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: long workbench divided into exactly six equal stations
Subject: one plain object is moved, resized, turned, partitioned, refined, and tested for what stays fixed
Conceptual action: make the permanent scaffold visible as repeated actions on the same object
Composition: six stations in a straight row; one action per station; station boundaries are blank gutters, gutter boundaries
Materials / medium: wood bench, brass unit stick, small turntable, scale gate, nested glass shutter, amber invariant thread
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: opening editorial spread for a geometry-first adult learning book"
GFV6-FM_5-B,FM.5-B,Permanent scaffold - simplified learner card,Modern map and recovery,companion learner card,optional,medium,gpt-image-1.5,high,1536x1024,2,SYS.1 brass_unit_stick; SYS.2 amber_invariant_glow,A simpler scaffold card for readers who need the map before the machinery.,"Add four word labels as vector type only. Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: single square learning card on a clean desk
Subject: four empty compartments arranged as a 2 by 2 grid: object, operation, equivalence, invariant
Conceptual action: show the scaffold as four reusable roles in a compact learning card
Composition: exactly four compartments; one plain object appears in all four; large blank heading space
Materials / medium: matte card, brass bead, vellum overlay, amber thread, soft desk light
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: companion plate designed to receive exact vector diagram overlays"
GFV6-FM_6-A,FM.6,A roadmap of the journey,Modern map and recovery,front matter spread,core,normal,gpt-image-1.5,high,1536x1024,1,,"The book is a spiral ascent, not a checklist.","Overlay recommended for part names. Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: calm recovery-map studio; modular wall, cabinets, paths, cards, instruments, and a single amber thread tying ideas together
Subject: a long road that begins with two unmeasured sticks and passes through milestones: unit choice, number line, partition, ratio loom, dilation tower, turning observatory, function city, calculus microscope, wave landscape, spacetime arch, and modern mathematics horizon.
Conceptual action: The book is a spiral ascent, a spiral ascent; each milestone is recognizable but clear and readable
Composition: wide left-to-right route with exactly seven milestones; each milestone is visually simple; open sky/space above for captions
Materials / medium: museum-quality editorial illustration; paper, wood, brass, glass, graphite, warm neutral palette
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: opening editorial spread for a geometry-first adult learning book"
GFV6-0-A,0,Geometry before numbers: magnitudes and sameness,Tactile workshop realism,chapter opener,core,normal,gpt-image-1.5,high,1536x1024,2,SYS.1 brass_unit_stick,Magnitude and sameness come before measurement.,"Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: quiet tabletop workshop; wood surface, vellum sheets, pins, string, calipers, and side light
Subject: two handmade wooden rods on a table under soft side light.
Conceptual action: Magnitude and sameness come before measurement; one rod aligns exactly with a transparent ghost of the other after a slide-and-rotate motion; In the background, a measuring scale remains blurred and secondary
Composition: chapter-opener plate; one dominant metaphor with two or three supporting objects; wide negative space for title overlay
Materials / medium: editorial still life; brass, wood grain, linen string, matte paper, transparent vellum; 50mm lens feel; soft contact shadows
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: opening editorial spread for a geometry-first adult learning book"
GFV6-0_1-A,0.1,Magnitudes are older than numerals,Tactile workshop realism,subsection side image,core,normal,gpt-image-1.5,medium,1536x1024,1,SYS.1 brass_unit_stick,Length exists before its numeric report.,"Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: quiet tabletop workshop; wood surface, vellum sheets, pins, string, calipers, and side light
Subject: a rope pulled taut between two pins, a carved stick, and the edge of a stone slab.
Conceptual action: Length exists before its numeric report; endpoints are subtly highlighted; a faint translucent line connects the examples as instances of extension
Composition: one physical action; top-down or shallow angle; three primary objects maximum; empty margin for later labels
Materials / medium: editorial still life; brass, wood grain, linen string, matte paper, transparent vellum; 50mm lens feel; soft contact shadows
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: pedagogical editorial plate for an adult math book"
