sequence,kind,id,section,title,format,layout_label,size,quality,background,filename,caption,overlay,style,role,prompt_core
1,subsection,0.1,0,Magnitudes are older than numerals,H,Half-page conceptual plate,1536x1024,high,opaque,001_0_1_magnitudes_are_older_than_numerals.png,Length exists before its label.,,tactile workshop + quiet geometric overlay,Separate the raw geometric thing from the later numeric report. The learner should feel that length exists before counting.,"On a warm drafting table, show three unlabeled objects whose lengths can be felt immediately: a wooden dowel, a loop of rope pulled straight, and the edge of a steel square. No numerals anywhere. A faint translucent geometric overlay should reveal that all three are instances of extension between endpoints, with one object cast in sharp focus and the others echoing it as physical thing, relation, and eventual measurement. Serious editorial illustration, tactile materials, calm lighting, generous negative space, adult and elegant, not schoolish."
2,subsection,0.2,0,Congruence: sameness without counting,D,Hybrid diagram plate; overlay exact geometry/labels later if needed,1536x1024,high,opaque,002_0_2_congruence_sameness_without_counting.png,Sameness is what survives the allowed motion.,Light vector overlays for endpoints and motion arrows recommended.,hybrid diagrammatic plate with tactile materials,Make sameness feel operational: two lengths are the same because rigid motion can carry one onto the other.,"Create a precise yet artistic scene of two line segments on translucent vellum being slid and rotated until they coincide perfectly. Include a brass compass, a rigid metal rod, and a ghosted sequence of motions showing slide, rotation, and flip, with the final perfect overlap glowing subtly. The image should communicate preservation under rigid motion more strongly than any ruler would. No text embedded; keep geometry clean enough for optional vector labels later."
3,subsection,0.3,0,The first honest act of measurement: choose a unit,D,Hybrid diagram plate; overlay exact geometry/labels later if needed,1536x1024,high,opaque,003_0_3_the_first_honest_act_of_measurement_choose_a_unit.png,"Object, standard, comparison, report are not the same thing.",Best as AI base plus vector overlay for arrows and tick marks.,clean conceptual pipeline plate,Show measurement as a pipeline from thing to chosen standard to ratio to written label.,"Compose a four-stage visual pipeline moving left to right: an unlabeled segment as raw magnitude, a deliberately chosen reference stick highlighted in brass as the unit, a comparison stage where copies of the unit are being laid against the segment, and finally a clean symbolic tag floating as the last compressed report. Make clear that the chosen unit is itself a length while the comparison ratio is abstract. Elegant editorial infographic feel, but painterly enough to feel like art rather than software UI. No text inside the image except optional simple tick marks that can be added later."
4,subsection,0.4,0,Comparison before multiplication,H,Half-page conceptual plate,1536x1024,high,opaque,004_0_4_comparison_before_multiplication.png,Comparison and concatenation come before multiplication.,,tactile comparative still life,"Anchor arithmetic in simpler acts: compare, concatenate, compare again.","Show three stripped-down wooden sticks on a dark tabletop. One pair is placed end to end to form a longer combined length, while a third lies nearby as the comparison target. The composition should make it visually obvious that you can decide shorter, longer, or equal without any numbers at all. Add subtle ghosted hands or transparent overlays suggesting the act of placing and joining. Quiet, rigorous, almost Euclidean in spirit."
5,subsection,0.5,0,What school usually hides here,S,Split-screen corrective plate,1536x1024,high,opaque,005_0_5_what_school_usually_hides_here.png,Do not confuse the object with the report about the object.,,split-screen conceptual corrective,"Correct the common collapse of point, distance, unit, coordinate, and signed displacement into one blur.","Design a split-panel image. On the left, a blurred chaotic classroom-style collapse: point, ruler mark, arrow, unit stick, and coordinate label visually tangled together. On the right, the same five layers separated into clean stacked transparent planes: a point, a segment, a chosen unit, a coordinate readout, and a directed arrow. Make the right side crisp, humane, and relieving, as if mental fog has lifted. Sophisticated graphic-editorial style, adult mathematics book, no childish icons."
6,subsection,0.6,0,Historical note: why the Greeks cared so much,V,Historical vignette,1024x1536,high,opaque,006_0_6_historical_note_why_the_greeks_cared_so_much.png,Irrationality forced a deeper foundation than mere calculation.,,historical tableau with measured restraint,Humanize the historical pressure that pushed mathematics from computation toward justification.,"Create an atmospheric scene in the ancient Mediterranean at golden hour: survey ropes, tablets, carved stone diagrams, and two thinkers confronting a square and its diagonal with visible seriousness. The mood should suggest a civilization moving from practical measurement toward proof because certain lengths refuse to fit tidy counting. Avoid costume-drama cliché; make it feel like real intellectual pressure, not mythology. Dust, sunlight, limestone, disciplined composition."
7,subsection,0.7,0,Thought experiments,M,Margin or thought-experiment sketch,1024x1024,high,opaque,007_0_7_thought_experiments.png,"Switch the standard, not the thing, and watch what changes.",,quiet minimal thought-experiment sketch,Invite the reader to rehearse the section with physical imagination rather than procedure.,"Make a contemplative desk scene arranged like a mental exercise sheet without words: two pencils being compared by overlay, a unit stick swapped for a different longer unit, and a measured object remaining unchanged while only the report shifts. The scene should feel sparse and meditative, with each object separated enough that a reader can mentally run the experiment. Soft top light, minimal clutter, almost monastic clarity."
8,subsection,0.8,0,Common confusion to kill early,S,Split-screen corrective plate,1536x1024,high,opaque,008_0_8_common_confusion_to_kill_early.png,"A thing, a standard, and a number are related but not interchangeable.",,transparent-layer corrective plate,"Visually kill the conflation of magnitude, unit, and numeral before it spreads into later chapters.","Show a single table edge or rod seen through three transparent stacked panels. The bottom panel is the actual magnitude, the middle panel is a chosen unit repeatedly compared against it, and the top panel is a clean symbolic token hovering like a caption. The misreading to avoid should be visually implied by trying to collapse the layers into one flat mistaken image at the far edge. Elegant, layered, high-contrast, concept-first."
9,subsection,1.1,1,A line becomes a number line only after choices,D,Hybrid diagram plate; overlay exact geometry/labels later if needed,1536x1024,high,opaque,009_1_1_a_line_becomes_a_number_line_only_after_choices.png,Coordinates need a frame before they can speak.,Vector overlay for origin and arrows recommended.,linear stage with frame-setting gesture,"Show that a number line is not given by nature; it is created by fixing an origin, a direction, and a unit.","Illustrate a bare horizontal line gradually becoming a number line through three deliberate interventions: a hand pins an origin, an arrow establishes positive direction, and a brass unit segment is stepped off to set scale. The composition should make the frame-building act visible, almost like preparing a stage before a performance. Crisp linework, subtle depth, restrained palette of graphite and blue, plenty of room for later labels."
10,subsection,1.2,1,Directed segments: where negatives actually come from,H,Half-page conceptual plate,1536x1024,high,opaque,010_1_2_directed_segments_where_negatives_actually_come_from.png,"Negative means opposite orientation, not spooky less-than-nothing.",,symmetry on a line with embodied arrows,Replace the vague idea of 'below zero' with opposition of direction.,"Show an origin at center with equal arrows extending right and left, the left-pointing arrow rendered as the exact directional reversal of the right-pointing one. Add a faint half-turn arc around the origin to suggest that negation is a reversal symmetry, not a mystical anti-number. The scene should feel spatially honest and almost physical, as though arrows are rigid displacements on a rail. Sophisticated, spare, no text."
11,subsection,1.3,1,Integers as repeated unit translations,H,Half-page conceptual plate,1536x1024,high,opaque,011_1_3_integers_as_repeated_unit_translations.png,An integer can be seen as repeated copies of one unit move.,,rhythmic translation sequence,Make integer positions feel like accumulated copies of one repeated move.,"Create a rhythmic sequence of identical unit arrows stepping across a line from the origin, each new endpoint inheriting the last. The image should feel like a drumbeat of equal translations: same move, same move, same move. Consider subtle footprints, mechanical ticks, or repeated light pulses to reinforce the idea of composed repetition. Clean, adult, visually musical without becoming playful."
12,subsection,1.4,1,Another lens: balance sheets and elevators,H,Half-page conceptual plate,1536x1024,high,opaque,012_1_4_another_lens_balance_sheets_and_elevators.png,"Different stories, one structure: reference plus orientation.",,triptych analogy illustration,Offer alternate embodied analogies for signed quantity that are not purely geometric.,"Make a refined triptych: an elevator shaft with floors above and below a reference floor, a ledger with gains and debts arranged around a zero balance line, and a road marker with east-west displacements from a signpost. All three scenes should quietly rhyme compositionally so the reader sees one underlying structure wearing three costumes. Elegant editorial style, subdued palette, no cartoon office clichés."
13,subsection,1.5,1,Historical note: why negatives felt suspicious,V,Historical vignette,1024x1536,high,opaque,013_1_5_historical_note_why_negatives_felt_suspicious.png,Negatives became natural only after people saw them as structured opposites.,,historical collage across cultures,Show the cultural unevenness of accepting negatives.,"Create a three-part historical collage that moves from Chinese counting rods to an Indian merchant or mathematician handling debts and fortunes, then to a skeptical early modern European scholar staring uneasily at a negative result on paper. Keep the tone respectful and intellectually alive rather than touristy. Use shared compositional geometry so the viewer senses the idea traveling across time and cultures before becoming accepted."
14,subsection,1.6,1,The dimension subtlety,S,Split-screen corrective plate,1536x1024,high,opaque,014_1_6_the_dimension_subtlety.png,The coordinate and the segment it reports are not identical.,,layered dimension-correction plate,Disentangle pure coordinate value from the actual segment of that many units.,"Show a single point on a line with two distinct but related visual layers: one layer is the pure coordinate readout, the other is the actual directed segment from origin to that point. A chosen unit segment sits nearby as the hidden mediator. The left side of the image should tempt a collapse of these layers; the right side should cleanly separate them. Transparent planes, precise composition, concept-forward design."
15,subsection,1.7,1,Thought experiments,M,Margin or thought-experiment sketch,1024x1024,high,opaque,015_1_7_thought_experiments.png,Change the frame and the report changes; the place stays put.,,minimal embodied sketch,Let the reader mentally run origin flips and unit changes.,"Create a quiet scene with footsteps on a floor grid moving east then west, alongside a line where the positive arrow flips direction and the coordinate labels would all reverse if added. Include a subtle second panel where the unit changes and the same location receives a different report. Minimal, contemplative, almost like an architect’s margin sketch for a live thought experiment."
16,subsection,1.8,1,A preview of later structure,B,Bridge plate / wide in-flow conceptual image,1536x1024,high,opaque,016_1_8_a_preview_of_later_structure.png,Small symmetries grow into larger mathematics.,,bridge plate / conceptual atlas,"Preview translation, reflection, and scaling as the seed of later mathematics.","Design a wide bridge image starting from a simple number line at the left and branching upward into three luminous pathways labeled only by visual action: sliding translations, mirror reflections, and origin-centered scalings. Those paths should then fade into richer later worlds—vectors, complex rotations, spacetime grids—without becoming busy. The point is to show that the humble number line already contains the seed of a vast transformation language."
17,subsection,2.1,2,Addition is composition of translations,D,Hybrid diagram plate; overlay exact geometry/labels later if needed,1536x1024,high,opaque,017_2_1_addition_is_composition_of_translations.png,Addition is what happens when moves are chained together.,Vector arrows and labels can be overlaid later.,motion diagram with editorial depth,"Make addition feel like path-composition, not symbol pushing.","Show a point traveling through space by two consecutive arrows, first to an intermediate location and then to a final one, while a larger resultant arrow spans directly from start to finish. The geometry should be crisp, but the scene can feel slightly cinematic, with ghosted traces and luminous path memory. The viewer should immediately understand that addition is doing one move after another."
